1,2000-01-01 00:00:00,946656000,111738,108.172.72.213,26422,174.184.20.106,80,clash-of-ems.com,0.0.0.0,80,NUL,196
2,2000-01-01 00:00:00,946656000,123728,69.137.38.53,50293,108.42.25.55,443,gdxslv.co,0.0.0.0,80,NUL,528
3,2000-01-01 00:00:00,946656000,151088,82.191.164.147,38452,153.170.202.196,80,projecteiht7.com,106.4.137.198,9000,HTTP,1
4,2000-01-01 00:00:00,946656000,141498,149.158.236.250,35519,210.115.140.192,443,miaoshenq.com,0.0.0.0,80,NUL,682
5,2000-01-01 00:00:00,946656000,159812,70.225.175.229,34658,137.101.236.127,80,squatchtatic.com,0.0.0.0,80,NUL,437
6,2000-01-01 00:00:00,946656000,148342,97.70.201.168,19446,113.52.34.121,80,paramountaintingllcmd.com,0.0.0.0,80,NUL,297
7,2000-01-01 00:00:00,946656000,127189,114.62.21.142,59170,200.159.192.49,80,healthyseinfo.com,0.0.0.0,80,NUL,442
8,2000-01-01 00:00:00,946656000,159819,204.210.183.231,15545,93.179.159.106,8088,squirellyoe.com,0.0.0.0,80,NUL,78
9,2000-01-01 00:00:00,946656000,116816,92.210.20.250,10022,100.50.210.199,80,dns-clan.om,0.0.0.0,80,NUL,132
10,2000-01-01 00:00:00,946656000,138679,155.19.129.244,27124,43.98.201.23,80,ltkskt.co,218.75.144.25,9000,HTTP,675
11,2000-01-01 00:00:00,946656000,123897,178.79.182.249,57624,150.125.219.176,80,gentlemanrt.com,0.0.0.0,80,NUL,947
12,2000-01-01 00:00:00,946656000,172264,166.192.87.61,29394,29.48.73.148,8443,xlwsw.com,0.0.0.0,80,NUL,711
13,2000-01-01 00:00:00,946656000,105937,93.138.171.41,12742,74.111.170.164,80,beforeandfter911.com,0.0.0.0,80,NUL,581
14,2000-01-01 00:00:00,946656000,155990,57.32.54.158,18881,167.192.68.55,80,seabridgeexico.com,0.0.0.0,80,NUL,3
15,2000-01-01 00:00:00,946656000,115888,62.81.50.130,44034,158.76.233.204,80,destinatinspoon.com,0.0.0.0,80,NUL,3
16,2000-01-01 00:00:00,946656000,124691,187.226.132.214,17605,197.148.196.202,80,gnatbutte.com,0.0.0.0,80,NUL,160
